id_especialidad_topico,tipo,descripcion
00001,Inteligencia Artificial,Especialidad o tópico relacionado con Inteligencia Artificial.
00002,Bases de Datos,Especialidad o tópico relacionado con Bases de Datos.
00003,Redes de Computadores,Especialidad o tópico relacionado con Redes de Computadores.
00004,Ciberseguridad,Especialidad o tópico relacionado con Ciberseguridad.
00005,Computación Gráfica,Especialidad o tópico relacionado con Computación Gráfica.
00006,Algoritmos y Estructuras de Datos,Especialidad o tópico relacionado con Algoritmos y Estructuras de Datos.
00007,Ingeniería de Software,Especialidad o tópico relacionado con Ingeniería de Software.
00008,Big Data,Especialidad o tópico relacionado con Big Data.
00009,Desarrollo Web Full-Stack,Especialidad o tópico relacionado con Desarrollo Web Full-Stack.
00010,Computación en la Nube,Especialidad o tópico relacionado con Computación en la Nube.
00011,Sistemas Operativos,Especialidad o tópico relacionado con Sistemas Operativos.
00012,Teoría de la Computación,Especialidad o tópico relacionado con Teoría de la Computación.
00013,Aprendizaje Automático,Especialidad o tópico relacionado con Aprendizaje Automático.
00014,Visión por Computador,Especialidad o tópico relacionado con Visión por Computador.
00015,Procesamiento de Lenguaje Natural,Especialidad o tópico relacionado con Procesamiento de Lenguaje Natural.
00016,Blockchain,Especialidad o tópico relacionado con Blockchain.
00017,Internet de las Cosas,Especialidad o tópico relacionado con Internet de las Cosas.
00018,Realidad Virtual y Aumentada,Especialidad o tópico relacionado con Realidad Virtual y Aumentada.
